,location_x,latitude_x,longitude_x,location_y,latitude_y,longitude_y,distance
115,"New York, NY, USA",40.7127753,-74.0059728,"Detroit, MI, USA",42.331427,-83.0457538,773.38
116,"New York, NY, USA",40.7127753,-74.0059728,"Minneapolis, MN, USA",44.977753,-93.2650108,1635.66
117,"New York, NY, USA",40.7127753,-74.0059728,"San Diego, CA, USA",32.715738,-117.1610838,3907.16
118,"New York, NY, USA",40.7127753,-74.0059728,"Tampa, FL, USA",27.950575,-82.4571776,1615.45
119,"New York, NY, USA",40.7127753,-74.0059728,"Denver, CO, USA",39.7392358,-104.990251,2619.05
120,"New York, NY, USA",40.7127753,-74.0059728,"Baltimore, MD, USA",39.2903848,-76.6121893,272.55
121,"New York, NY, USA",40.7127753,-74.0059728,"St. Louis, MO, USA",38.6270025,-90.1994042,1403.18
122,"New York, NY, USA",40.7127753,-74.0059728,"Charlotte, NC, USA",35.2270869,-80.8431267,854.6
123,"New York, NY, USA",40.7127753,-74.0059728,"Orlando, FL, USA",28.5383832,-81.3789269,1511.07
124,"New York, NY, USA",40.7127753,-74.0059728,"San Antonio, TX, USA",29.4251905,-98.4945922,2545.02
125,"New York, NY, USA",40.7127753,-74.0059728,"Sacramento, CA, USA",38.5815719,-121.4943996,4022.97
126,"New York, NY, USA",40.7127753,-74.0059728,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864,506.69
127,"New York, NY, USA",40.7127753,-74.0059728,"Austin, TX, USA",30.267153,-97.7430608,2431.61
128,"New York, NY, USA",40.7127753,-74.0059728,"Las Vegas, NV, USA",36.171563,-115.1391009,3584.74
129,"New York, NY, USA",40.7127753,-74.0059728,"Cincinnati, OH, USA",39.1031182,-84.5120196,913.22
130,"New York, NY, USA",40.7127753,-74.0059728,"Kansas City, MO, USA",39.0997265,-94.5785667,1759.86
131,"New York, NY, USA",40.7127753,-74.0059728,"Columbus, OH, USA",39.9611755,-82.99879419999999,766.44
132,"New York, NY, USA",40.7127753,-74.0059728,"Indianapolis, IN, USA",39.768403,-86.158068,1035.95
133,"New York, NY, USA",40.7127753,-74.0059728,"Cleveland, OH, USA",41.49932,-81.6943605,649.86
134,"New York, NY, USA",40.7127753,-74.0059728,"Nashville, TN, USA",36.1626638,-86.7816016,1220.76
135,"New York, NY, USA",40.7127753,-74.0059728,"San Jose, CA, USA",37.33874,-121.8852525,4101.75
136,"New York, NY, USA",40.7127753,-74.0059728,"Virginia Beach, VA, USA",36.8516437,-75.97921939999999,462.12
137,"New York, NY, USA",40.7127753,-74.0059728,"Providence, RI, USA",41.8239891,-71.4128343,249.46
138,"New York, NY, USA",40.7127753,-74.0059728,"Jacksonville, FL, USA",30.3321838,-81.65565099999999,1344.64
139,"New York, NY, USA",40.7127753,-74.0059728,"Milwaukee, WI, USA",43.0389025,-87.9064736,1178.1
140,"New York, NY, USA",40.7127753,-74.0059728,"Raleigh, NC, USA",35.7795897,-78.6381787,681.33
141,"New York, NY, USA",40.7127753,-74.0059728,"Oklahoma City, OK, USA",35.4675602,-97.5164276,2131.27
142,"New York, NY, USA",40.7127753,-74.0059728,"Memphis, TN, USA",35.1495343,-90.0489801,1534.0
143,"New York, NY, USA",40.7127753,-74.0059728,"Richmond, VA, USA",37.5407246,-77.4360481,460.3
144,"New York, NY, USA",40.7127753,-74.0059728,"Louisville, KY, USA",38.2526647,-85.7584557,1044.14
145,"New York, NY, USA",40.7127753,-74.0059728,"Salt Lake City, UT, USA",40.7607793,-111.8910474,3166.64
146,"New York, NY, USA",40.7127753,-74.0059728,"New Orleans, LA, USA",29.95106579999999,-90.0715323,1880.3
147,"New York, NY, USA",40.7127753,-74.0059728,"Hartford, CT, USA",41.7658043,-72.6733723,161.63
148,"New York, NY, USA",40.7127753,-74.0059728,"Buffalo, NY, USA",42.88644679999999,-78.8783689,470.57
149,"New York, NY, USA",40.7127753,-74.0059728,"Birmingham, AL, USA",33.5185892,-86.8103567,1386.5
150,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Portland, OR, USA",45.515232,-122.6783853,1329.2
151,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Seattle, WA, USA",47.6062095,-122.3320708,1545.3
152,"Los Angeles, CA, USA",34.0522342,-118.2436849,"New York, NY, USA",40.7127753,-74.0059728,3935.75
153,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA, USA",34.0522342,-118.2436849,10.0
154,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Chicago, IL, USA",41.8781136,-87.6297982,2803.97
155,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Dallas, TX, USA",32.7766642,-96.7969879,1991.99
156,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Houston, TX, USA",29.7604267,-95.3698028,2206.26
157,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Washington, DC, USA",38.9071923,-77.0368707,3692.0
158,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Philadelphia, PA, USA",39.9525839,-75.1652215,3843.45
159,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Atlanta, GA, USA",33.748752,-84.38768449999999,3110.36
160,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Miami, FL, USA",25.7616798,-80.1917902,3758.77
161,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Phoenix, AZ, USA",33.4483771,-112.0740373,574.26
162,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Boston, MA, USA",42.3600825,-71.0588801,4169.61
163,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Riverside, CA, USA",33.9806005,-117.3754942,80.41
164,"Los Angeles, CA, USA",34.0522342,-118.2436849,"San Francisco, CA, USA",37.7749295,-122.4194155,559.12
165,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Detroit, MI, USA",42.331427,-83.0457538,3185.37
166,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Minneapolis, MN, USA",44.977753,-93.2650108,2448.48
167,"Los Angeles, CA, USA",34.0522342,-118.2436849,"San Diego, CA, USA",32.715738,-117.1610838,179.41
168,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Tampa, FL, USA",27.950575,-82.4571776,3459.52
169,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Denver, CO, USA",39.7392358,-104.990251,1335.52
170,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Baltimore, MD, USA",39.2903848,-76.6121893,3725.23
171,"Los Angeles, CA, USA",34.0522342,-118.2436849,"St. Louis, MO, USA",38.6270025,-90.1994042,2552.42
172,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Charlotte, NC, USA",35.2270869,-80.8431267,3403.77
173,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Orlando, FL, USA",28.5383832,-81.3789269,3536.63
174,"Los Angeles, CA, USA",34.0522342,-118.2436849,"San Antonio, TX, USA",29.4251905,-98.4945922,1933.63
175,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Sacramento, CA, USA",38.5815719,-121.4943996,581.68
176,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864,3431.37
177,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Austin, TX, USA",30.267153,-97.7430608,1971.54
178,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Las Vegas, NV, USA",36.171563,-115.1391009,367.77
179,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Cincinnati, OH, USA",39.1031182,-84.5120196,3045.92
180,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Kansas City, MO, USA",39.0997265,-94.5785667,2179.52
181,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Columbus, OH, USA",39.9611755,-82.99879419999999,3176.25
182,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Indianapolis, IN, USA",39.768403,-86.158068,2906.15
183,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Cleveland, OH, USA",41.49932,-81.6943605,3290.88
184,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Nashville, TN, USA",36.1626638,-86.7816016,2859.09
185,"Los Angeles, CA, USA",34.0522342,-118.2436849,"San Jose, CA, USA",37.33874,-121.8852525,491.53
186,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Virginia Beach, VA, USA",36.8516437,-75.97921939999999,3809.85
187,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Providence, RI, USA",41.8239891,-71.4128343,4144.07
188,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Jacksonville, FL, USA",30.3321838,-81.65565099999999,3449.43
189,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Milwaukee, WI, USA",43.0389025,-87.9064736,2802.46
190,"Los Angeles, CA, USA",34.0522342,-118.2436849,"Raleigh, NC, USA",35.7795897,-78.6381787,3591.71
